token_idx,layer_0_active_k,layer_1_active_k,layer_2_active_k,layer_3_active_k,layer_4_active_k,layer_5_active_k,layer_6_active_k,layer_7_active_k,layer_8_active_k,layer_9_active_k,layer_10_active_k,layer_11_active_k,layer_12_active_k,layer_13_active_k,layer_14_active_k,layer_15_active_k,total_active_experts,avg_active_experts_per_layer,expert_weight_demand_mib_no_kv
266,8,8,8,8,8,8,8,8,8,6,5,4,4,3,3,2,99,6.1875,334.125000
267,6,8,8,7,8,8,6,6,6,7,6,8,6,6,6,8,110,6.875,371.250000
268,8,8,8,8,8,8,8,8,8,8,8,7,6,6,5,6,118,7.375,398.250000
269,8,8,8,8,8,8,8,8,8,8,6,5,4,4,6,6,111,6.9375,374.625000
270,7,8,8,8,8,8,8,8,8,7,6,8,6,6,8,8,120,7.5,405.000000
271,8,8,8,8,8,8,8,8,8,8,8,7,5,4,5,5,114,7.125,384.750000
272,8,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,122,7.625,411.750000
273,8,8,8,8,8,8,8,8,8,8,8,8,6,5,6,7,120,7.5,405.000000
274,8,8,8,8,8,8,8,8,8,8,7,6,5,5,6,5,114,7.125,384.750000
275,7,8,8,8,8,8,8,8,8,7,8,8,7,6,8,8,123,7.6875,415.125000
276,8,8,8,8,8,8,8,8,8,8,8,8,5,6,6,5,118,7.375,398.250000
277,8,8,8,8,8,8,8,8,8,8,6,6,5,4,7,7,115,7.1875,388.125000
278,8,8,8,8,8,8,8,8,8,8,8,8,5,5,6,6,118,7.375,398.250000
279,7,8,8,8,8,8,8,8,8,8,6,6,6,5,8,7,117,7.3125,394.875000
280,6,8,8,8,8,8,8,8,8,6,8,6,6,7,6,8,117,7.3125,394.875000
281,8,8,8,8,8,8,8,8,8,8,8,4,4,5,5,6,112,7.0,378.000000
282,8,8,8,8,8,8,8,8,7,6,7,8,5,5,5,5,112,7.0,378.000000
283,8,8,8,8,8,8,8,8,8,7,8,8,8,7,8,8,126,7.875,425.250000
284,8,8,8,8,8,8,8,8,8,8,6,7,8,6,5,8,120,7.5,405.000000
285,8,8,8,8,8,8,8,6,6,5,3,3,3,2,3,4,91,5.6875,307.125000
286,8,8,8,8,8,8,8,8,8,8,6,7,6,8,5,6,118,7.375,398.250000
287,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,118,7.375,398.250000
288,5,8,8,8,8,8,8,8,8,8,6,7,7,8,8,8,121,7.5625,408.375000
289,8,8,8,8,8,8,8,8,8,7,8,8,6,6,6,7,120,7.5,405.000000
290,8,8,8,7,8,8,8,8,8,8,8,8,8,6,7,8,124,7.75,418.500000
291,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,126,7.875,425.250000
292,8,8,8,8,8,8,8,8,8,8,8,7,6,4,5,8,118,7.375,398.250000
293,8,8,8,8,8,8,8,8,8,8,6,7,5,6,5,8,117,7.3125,394.875000
294,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8.0,432.000000
